id_orden_municip,id_nodo_prbd,nomenclatura_redgto,nombre_nodo,tipo_nodo,ip_nodo,rango_nodo,clave,fecha_operacion_nodo,id_comunidad,comunidad,id_comunidad_inegi,id_municipio,municipio,longitud,latitud,clave_nodo,direccion,codigo_postal
234,161,REDGTO-SMA-MO-00161,La Biznaga,Publico,10.0.77.34,192.77.33,NP-SMA-110030026-01,2018,655,Biznaga de Jaral,110030026,1003,San Miguel de Allende,21.0253600,-100.6816200,2,"Calle S/Nom, La Biznaga De Cerro Grande, 37883, GUA, México",37883
235,162,REDGTO-SMA-MO-00162,Guadalupe de Támbula,Publico,10.0.77.36,192.77.35,NP-SMA-110030114-01,2018,716,Guadalupe de Támbula,110030114,1003,San Miguel de Allende,20.8686409,-100.5756531,2,"Calle del Pozo, Guadalupe De Tambula, 37887, GUA, México",37887
236,163,REDGTO-SMA-MO-00163,Puerto de Nieto,Publico,10.0.77.38,192.77.37,NP-SMA-110030223-01,2018,788,Puerto de Nieto,110030223,1003,San Miguel de Allende,20.8906803,-100.5381622,2,"Calle Niños Héroes, Puerto De Nieto 1, 37888, GUA, México",37888
237,164,REDGTO-SMA-MO-00164,Moral de Puerto de Nieto,Publico,192.77.39.3,192.77.39,NP-SMA-110030175-01,2018,757,Moral de Puerto de Nieto,110030175,1003,San Miguel de Allende,20.8930893,-100.5147934,2,"Calle Norte, Moral Del Puerto De Nieto, 37888, GUA, México",37888
238,165,REDGTO-SMA-MO-00165,Jalpa,Publico,10.0.77.42,192.77.41,NP-SMA-110030128-01,2018,727,Jalpa,110030128,1003,San Miguel de Allende,20.7689095,-100.6116180,2,"Calle S/Nom, 37887 Jalpa, GUA, México",37887
239,166,REDGTO-SMA-MO-00166,Charco de Sierra,Publico,10.0.77.44,192.77.43,NP-SMA-110030086-01,2018,696,Charco de Sierra,110030086,1003,San Miguel de Allende,20.7277794,-100.6074982,2,"Carretera Comonfort-Queretaro, Charco De La Sierra, 37887 Charco de Sierra, GUA, México",37887
240,167,REDGTO-SMA-MO-00167,Lagunillas,Publico,10.0.77.46,192.77.45,NP-SMA-110030134-01,2018,733,Lagunilla,110030134,1003,San Miguel de Allende,20.8008194,-100.6350708,2,"Calle José Dolores Anaya, Lagunilla, 37887, GUA, México",37887
281,170,REDGTO-JVR-MO-00170,Rosillito,Publico,10.0.64.46,192.64.45,NP-JVR-110350065-01,2020,9295,San Juan de la Cruz,110350065,1035,Santa Cruz de Juventino Rosas,20.6421808,-100.9387052,2,"Camino Real, El Rosillito, 38250, GUA, México",38250
282,171,REDGTO-JVR-MO-00171,Santa María de Guadalupe,Publico,10.0.64.38,192.64.37,NP-JVR-110350205-01,2020,9280,La Purísima,110350049,1035,Santa Cruz de Juventino Rosas,20.6107464,-101.0360031,2,"Calle S/Nom, Santa Maria De Guadalupe, 38255, GUA, México",38255
283,172,REDGTO-JVR-MO-00172,La Chiripa,Publico,10.0.64.85,192.64.33,NP-JVR-110350038-01,2020,9272,San Antonio Nuevo Valencia (La Chiripa),110350038,1035,Santa Cruz de Juventino Rosas,20.6690845,-100.9889984,2,"Calle Corregidora, San Jose Del Sauz (El Sauz), 38243 Juventino Rosas, GUA, México",38243
284,173,REDGTO-JVR-MO-00173,La Tinaja,Publico,10.0.64.32,192.64.31,NP-JVR-110350080-01,2020,9306,La Tinaja,110350080,1035,Santa Cruz de Juventino Rosas,20.7052784,-101.0381165,2,"Calle Ignacio Aldama, La Tinaja, 38256, GUA, México",38256
285,174,REDGTO-JVR-MO-00174,La Esperanza,Publico,10.0.64.36,192.64.35,NP-JVR-110350098-01,2020,9318,La Esperanza,110350098,1035,Santa Cruz de Juventino Rosas,20.6031990,-100.9199448,2,"Calle S/Nom, La Esperanza, 38255 Franco Tavera, GUA, México",38255
286,175,REDGTO-JVR-MO-00175,Tejada,Publico,10.0.64.42,192.64.35,NP-JVR-110350102-01,2020,9319,Tejada,110350102,1035,Santa Cruz de Juventino Rosas,20.5848198,-101.0376358,2,"Calle S/Nom, Tejada, 38255, GUA, México",38255
287,176,REDGTO-JVR-MO-00176,La Purísima,Publico,10.0.64.40,192.64.35,NP-JVR-110350205-02,2020,9280,La Purísima,110350049,1035,Santa Cruz de Juventino Rosas,20.6320686,-101.0487595,2,"Calle S/Nom, Purisima 1, 38254, GUA, México",38254
288,177,REDGTO-JVR-MO-00177,Laguna Seca,Publico,10.0.64.44,192.64.43,NP-JVR-110350086-01,2020,9312,Laguna Seca de San Isidro,110350086,1035,Santa Cruz de Juventino Rosas,20.6806889,-101.0466461,2,"Calle S/Nom, 36866, GUA, México",36866
319,178,REDGTO-VLG-MO-00178,CECYTEG Villagrán,Escolar,10.0.14.14,192.14.14,NE-VLG-110440023-01,2021,10731,Mexicanos,110440023,1044,Villagran,20.5496690,-101.0757510,11ETC0011S,"Calle S/Nom, Mexicanos, 38271, GUA, México",38271
